winner,player0_unit0,player0_unit0_item0,player0_unit0_item1,player0_unit0_item2,player0_unit0_level,player0_unit1,player0_unit1_item0,player0_unit1_item1,player0_unit1_item2,player0_unit1_level,player0_unit2,player0_unit2_item0,player0_unit2_item1,player0_unit2_item2,player0_unit2_level,player0_unit3,player0_unit3_item0,player0_unit3_item1,player0_unit3_item2,player0_unit3_level,player0_unit4,player0_unit4_item0,player0_unit4_item1,player0_unit4_item2,player0_unit4_level,player0_unit5,player0_unit5_item0,player0_unit5_item1,player0_unit5_item2,player0_unit5_level,player0_unit6,player0_unit6_item0,player0_unit6_item1,player0_unit6_item2,player0_unit6_level,player0_unit7,player0_unit7_item0,player0_unit7_item1,player0_unit7_item2,player0_unit7_level,player0_unit8,player0_unit8_item0,player0_unit8_item1,player0_unit8_item2,player0_unit8_level,player1_unit0,player1_unit0_item0,player1_unit0_item1,player1_unit0_item2,player1_unit0_level,player1_unit1,player1_unit1_item0,player1_unit1_item1,player1_unit1_item2,player1_unit1_level,player1_unit2,player1_unit2_item0,player1_unit2_item1,player1_unit2_item2,player1_unit2_level,player1_unit3,player1_unit3_item0,player1_unit3_item1,player1_unit3_item2,player1_unit3_level,player1_unit4,player1_unit4_item0,player1_unit4_item1,player1_unit4_item2,player1_unit4_level,player1_unit5,player1_unit5_item0,player1_unit5_item1,player1_unit5_item2,player1_unit5_level,player1_unit6,player1_unit6_item0,player1_unit6_item1,player1_unit6_item2,player1_unit6_level,player1_unit7,player1_unit7_item0,player1_unit7_item1,player1_unit7_item2,player1_unit7_level,player1_unit8,player1_unit8_item0,player1_unit8_item1,player1_unit8_item2,player1_unit8_level
0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,TFT5_Garen,0,0,0,2,TFT5_Akshan,22,11,49,1,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,TFT5_Galio,77,36,47,2,TFT5_Akshan,19,1195,26,1,None,0,0,0,0
0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,TFT5_Garen,0,0,0,2,TFT5_Akshan,22,11,49,1,TFT5_Leona,0,0,0,2,TFT5_Poppy,35,0,0,2,TFT5_Kennen,47,45,58,2,TFT5_Nautilus,0,0,0,2,TFT5_Thresh,0,0,0,2,TFT5_Jax,16,2026,16,2,TFT5_Rell,0,0,0,2,TFT5_Viego,69,29,0,1,TFT5_Garen,37,0,0,1
1,TFT5_Gragas,77,56,0,2,TFT5_Soraka,14,0,0,2,TFT5_Syndra,59,0,0,2,TFT5_Riven,0,0,0,2,TFT5_Lulu,0,0,0,2,TFT5_Karma,2039,44,33,2,TFT5_Ivern,0,0,0,2,TFT5_Fiddlesticks,1192,15,36,2,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,TFT5_Garen,0,0,0,2,TFT5_Akshan,22,11,49,1
0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,TFT5_Garen,0,0,0,2,TFT5_Akshan,22,11,49,1,TFT5_Kled,29,2026,16,3,TFT5_Poppy,57,0,0,3,TFT5_Ziggs,44,26,0,3,TFT5_Kennen,0,0,0,2,TFT5_Tristana,1196,0,0,2,TFT5_Rell,0,0,0,1,TFT5_Teemo,0,0,0,1,TFT5_Gwen,44,36,0,1,None,0,0,0,0
1,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,0,0,0,2,TFT5_Jax,0,0,0,1,TFT5_Lucian,29,2012,49,1,TFT5_Diana,1194,48,0,2,TFT5_Galio,56,34,77,2,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,TFT5_Garen,0,0,0,2,TFT5_Akshan,22,11,49,1
1,TFT5_Syndra,79,0,0,1,TFT5_Sejuani,56,0,0,1,TFT5_Ashe,0,0,0,2,TFT5_Ivern,0,0,0,2,TFT5_Aphelios,23,49,14,2,TFT5_Fiddlesticks,0,0,0,2,TFT5_Gwen,59,0,0,1,TFT5_Volibear,48,77,2056,1,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,TFT5_Garen,0,0,0,2,TFT5_Akshan,22,11,49,1
1,TFT5_Sejuani,56,17,0,2,TFT5_Irelia,0,0,0,2,TFT5_LeeSin,49,0,0,2,TFT5_Yasuo,49,1158,2034,2,TFT5_Rell,1178,0,0,1,TFT5_Diana,45,0,0,1,TFT5_Aphelios,0,0,0,1,None,0,0,0,0,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,TFT5_Garen,0,0,0,2,TFT5_Akshan,22,11,49,1
1,TFT5_Leona,0,0,0,2,TFT5_Poppy,35,0,0,2,TFT5_Kennen,47,45,58,2,TFT5_Nautilus,0,0,0,2,TFT5_Thresh,0,0,0,2,TFT5_Jax,16,2026,16,2,TFT5_Rell,0,0,0,2,TFT5_Viego,69,29,0,1,TFT5_Garen,37,0,0,1,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,TFT5_Galio,77,36,47,2,TFT5_Akshan,19,1195,26,1,None,0,0,0,0
0,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,TFT5_Galio,77,36,47,2,TFT5_Akshan,19,1195,26,1,None,0,0,0,0,TFT5_Gragas,77,56,0,2,TFT5_Soraka,14,0,0,2,TFT5_Syndra,59,0,0,2,TFT5_Riven,0,0,0,2,TFT5_Lulu,0,0,0,2,TFT5_Karma,2039,44,33,2,TFT5_Ivern,0,0,0,2,TFT5_Fiddlesticks,1192,15,36,2,None,0,0,0,0
0,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,TFT5_Galio,77,36,47,2,TFT5_Akshan,19,1195,26,1,None,0,0,0,0,TFT5_Kled,29,2026,16,3,TFT5_Poppy,57,0,0,3,TFT5_Ziggs,44,26,0,3,TFT5_Kennen,0,0,0,2,TFT5_Tristana,1196,0,0,2,TFT5_Rell,0,0,0,1,TFT5_Teemo,0,0,0,1,TFT5_Gwen,44,36,0,1,None,0,0,0,0
0,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,TFT5_Galio,77,36,47,2,TFT5_Akshan,19,1195,26,1,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,0,0,0,2,TFT5_Jax,0,0,0,1,TFT5_Lucian,29,2012,49,1,TFT5_Diana,1194,48,0,2,TFT5_Galio,56,34,77,2,None,0,0,0,0
0,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,TFT5_Galio,77,36,47,2,TFT5_Akshan,19,1195,26,1,None,0,0,0,0,TFT5_Syndra,79,0,0,1,TFT5_Sejuani,56,0,0,1,TFT5_Ashe,0,0,0,2,TFT5_Ivern,0,0,0,2,TFT5_Aphelios,23,49,14,2,TFT5_Fiddlesticks,0,0,0,2,TFT5_Gwen,59,0,0,1,TFT5_Volibear,48,77,2056,1,None,0,0,0,0
0,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,TFT5_Galio,77,36,47,2,TFT5_Akshan,19,1195,26,1,None,0,0,0,0,TFT5_Sejuani,56,17,0,2,TFT5_Irelia,0,0,0,2,TFT5_LeeSin,49,0,0,2,TFT5_Yasuo,49,1158,2034,2,TFT5_Rell,1178,0,0,1,TFT5_Diana,45,0,0,1,TFT5_Aphelios,0,0,0,1,None,0,0,0,0,None,0,0,0,0
0,TFT5_Leona,0,0,0,2,TFT5_Poppy,35,0,0,2,TFT5_Kennen,47,45,58,2,TFT5_Nautilus,0,0,0,2,TFT5_Thresh,0,0,0,2,TFT5_Jax,16,2026,16,2,TFT5_Rell,0,0,0,2,TFT5_Viego,69,29,0,1,TFT5_Garen,37,0,0,1,TFT5_Gragas,77,56,0,2,TFT5_Soraka,14,0,0,2,TFT5_Syndra,59,0,0,2,TFT5_Riven,0,0,0,2,TFT5_Lulu,0,0,0,2,TFT5_Karma,2039,44,33,2,TFT5_Ivern,0,0,0,2,TFT5_Fiddlesticks,1192,15,36,2,None,0,0,0,0
1,TFT5_Kled,29,2026,16,3,TFT5_Poppy,57,0,0,3,TFT5_Ziggs,44,26,0,3,TFT5_Kennen,0,0,0,2,TFT5_Tristana,1196,0,0,2,TFT5_Rell,0,0,0,1,TFT5_Teemo,0,0,0,1,TFT5_Gwen,44,36,0,1,None,0,0,0,0,TFT5_Leona,0,0,0,2,TFT5_Poppy,35,0,0,2,TFT5_Kennen,47,45,58,2,TFT5_Nautilus,0,0,0,2,TFT5_Thresh,0,0,0,2,TFT5_Jax,16,2026,16,2,TFT5_Rell,0,0,0,2,TFT5_Viego,69,29,0,1,TFT5_Garen,37,0,0,1
0,TFT5_Leona,0,0,0,2,TFT5_Poppy,35,0,0,2,TFT5_Kennen,47,45,58,2,TFT5_Nautilus,0,0,0,2,TFT5_Thresh,0,0,0,2,TFT5_Jax,16,2026,16,2,TFT5_Rell,0,0,0,2,TFT5_Viego,69,29,0,1,TFT5_Garen,37,0,0,1,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,0,0,0,2,TFT5_Jax,0,0,0,1,TFT5_Lucian,29,2012,49,1,TFT5_Diana,1194,48,0,2,TFT5_Galio,56,34,77,2,None,0,0,0,0
0,TFT5_Leona,0,0,0,2,TFT5_Poppy,35,0,0,2,TFT5_Kennen,47,45,58,2,TFT5_Nautilus,0,0,0,2,TFT5_Thresh,0,0,0,2,TFT5_Jax,16,2026,16,2,TFT5_Rell,0,0,0,2,TFT5_Viego,69,29,0,1,TFT5_Garen,37,0,0,1,TFT5_Syndra,79,0,0,1,TFT5_Sejuani,56,0,0,1,TFT5_Ashe,0,0,0,2,TFT5_Ivern,0,0,0,2,TFT5_Aphelios,23,49,14,2,TFT5_Fiddlesticks,0,0,0,2,TFT5_Gwen,59,0,0,1,TFT5_Volibear,48,77,2056,1,None,0,0,0,0
0,TFT5_Leona,0,0,0,2,TFT5_Poppy,35,0,0,2,TFT5_Kennen,47,45,58,2,TFT5_Nautilus,0,0,0,2,TFT5_Thresh,0,0,0,2,TFT5_Jax,16,2026,16,2,TFT5_Rell,0,0,0,2,TFT5_Viego,69,29,0,1,TFT5_Garen,37,0,0,1,TFT5_Sejuani,56,17,0,2,TFT5_Irelia,0,0,0,2,TFT5_LeeSin,49,0,0,2,TFT5_Yasuo,49,1158,2034,2,TFT5_Rell,1178,0,0,1,TFT5_Diana,45,0,0,1,TFT5_Aphelios,0,0,0,1,None,0,0,0,0,None,0,0,0,0
1,TFT5_Kled,29,2026,16,3,TFT5_Poppy,57,0,0,3,TFT5_Ziggs,44,26,0,3,TFT5_Kennen,0,0,0,2,TFT5_Tristana,1196,0,0,2,TFT5_Rell,0,0,0,1,TFT5_Teemo,0,0,0,1,TFT5_Gwen,44,36,0,1,None,0,0,0,0,TFT5_Gragas,77,56,0,2,TFT5_Soraka,14,0,0,2,TFT5_Syndra,59,0,0,2,TFT5_Riven,0,0,0,2,TFT5_Lulu,0,0,0,2,TFT5_Karma,2039,44,33,2,TFT5_Ivern,0,0,0,2,TFT5_Fiddlesticks,1192,15,36,2,None,0,0,0,0
1,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,0,0,0,2,TFT5_Jax,0,0,0,1,TFT5_Lucian,29,2012,49,1,TFT5_Diana,1194,48,0,2,TFT5_Galio,56,34,77,2,None,0,0,0,0,TFT5_Gragas,77,56,0,2,TFT5_Soraka,14,0,0,2,TFT5_Syndra,59,0,0,2,TFT5_Riven,0,0,0,2,TFT5_Lulu,0,0,0,2,TFT5_Karma,2039,44,33,2,TFT5_Ivern,0,0,0,2,TFT5_Fiddlesticks,1192,15,36,2,None,0,0,0,0
1,TFT5_Syndra,79,0,0,1,TFT5_Sejuani,56,0,0,1,TFT5_Ashe,0,0,0,2,TFT5_Ivern,0,0,0,2,TFT5_Aphelios,23,49,14,2,TFT5_Fiddlesticks,0,0,0,2,TFT5_Gwen,59,0,0,1,TFT5_Volibear,48,77,2056,1,None,0,0,0,0,TFT5_Gragas,77,56,0,2,TFT5_Soraka,14,0,0,2,TFT5_Syndra,59,0,0,2,TFT5_Riven,0,0,0,2,TFT5_Lulu,0,0,0,2,TFT5_Karma,2039,44,33,2,TFT5_Ivern,0,0,0,2,TFT5_Fiddlesticks,1192,15,36,2,None,0,0,0,0
0,TFT5_Gragas,77,56,0,2,TFT5_Soraka,14,0,0,2,TFT5_Syndra,59,0,0,2,TFT5_Riven,0,0,0,2,TFT5_Lulu,0,0,0,2,TFT5_Karma,2039,44,33,2,TFT5_Ivern,0,0,0,2,TFT5_Fiddlesticks,1192,15,36,2,None,0,0,0,0,TFT5_Sejuani,56,17,0,2,TFT5_Irelia,0,0,0,2,TFT5_LeeSin,49,0,0,2,TFT5_Yasuo,49,1158,2034,2,TFT5_Rell,1178,0,0,1,TFT5_Diana,45,0,0,1,TFT5_Aphelios,0,0,0,1,None,0,0,0,0,None,0,0,0,0
0,TFT5_Kled,29,2026,16,3,TFT5_Poppy,57,0,0,3,TFT5_Ziggs,44,26,0,3,TFT5_Kennen,0,0,0,2,TFT5_Tristana,1196,0,0,2,TFT5_Rell,0,0,0,1,TFT5_Teemo,0,0,0,1,TFT5_Gwen,44,36,0,1,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,0,0,0,2,TFT5_Jax,0,0,0,1,TFT5_Lucian,29,2012,49,1,TFT5_Diana,1194,48,0,2,TFT5_Galio,56,34,77,2,None,0,0,0,0
1,TFT5_Syndra,79,0,0,1,TFT5_Sejuani,56,0,0,1,TFT5_Ashe,0,0,0,2,TFT5_Ivern,0,0,0,2,TFT5_Aphelios,23,49,14,2,TFT5_Fiddlesticks,0,0,0,2,TFT5_Gwen,59,0,0,1,TFT5_Volibear,48,77,2056,1,None,0,0,0,0,TFT5_Kled,29,2026,16,3,TFT5_Poppy,57,0,0,3,TFT5_Ziggs,44,26,0,3,TFT5_Kennen,0,0,0,2,TFT5_Tristana,1196,0,0,2,TFT5_Rell,0,0,0,1,TFT5_Teemo,0,0,0,1,TFT5_Gwen,44,36,0,1,None,0,0,0,0
1,TFT5_Sejuani,56,17,0,2,TFT5_Irelia,0,0,0,2,TFT5_LeeSin,49,0,0,2,TFT5_Yasuo,49,1158,2034,2,TFT5_Rell,1178,0,0,1,TFT5_Diana,45,0,0,1,TFT5_Aphelios,0,0,0,1,None,0,0,0,0,None,0,0,0,0,TFT5_Kled,29,2026,16,3,TFT5_Poppy,57,0,0,3,TFT5_Ziggs,44,26,0,3,TFT5_Kennen,0,0,0,2,TFT5_Tristana,1196,0,0,2,TFT5_Rell,0,0,0,1,TFT5_Teemo,0,0,0,1,TFT5_Gwen,44,36,0,1,None,0,0,0,0
0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,0,0,0,2,TFT5_Jax,0,0,0,1,TFT5_Lucian,29,2012,49,1,TFT5_Diana,1194,48,0,2,TFT5_Galio,56,34,77,2,None,0,0,0,0,TFT5_Syndra,79,0,0,1,TFT5_Sejuani,56,0,0,1,TFT5_Ashe,0,0,0,2,TFT5_Ivern,0,0,0,2,TFT5_Aphelios,23,49,14,2,TFT5_Fiddlesticks,0,0,0,2,TFT5_Gwen,59,0,0,1,TFT5_Volibear,48,77,2056,1,None,0,0,0,0
0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,0,0,0,2,TFT5_Jax,0,0,0,1,TFT5_Lucian,29,2012,49,1,TFT5_Diana,1194,48,0,2,TFT5_Galio,56,34,77,2,None,0,0,0,0,TFT5_Sejuani,56,17,0,2,TFT5_Irelia,0,0,0,2,TFT5_LeeSin,49,0,0,2,TFT5_Yasuo,49,1158,2034,2,TFT5_Rell,1178,0,0,1,TFT5_Diana,45,0,0,1,TFT5_Aphelios,0,0,0,1,None,0,0,0,0,None,0,0,0,0
0,TFT5_Syndra,79,0,0,1,TFT5_Sejuani,56,0,0,1,TFT5_Ashe,0,0,0,2,TFT5_Ivern,0,0,0,2,TFT5_Aphelios,23,49,14,2,TFT5_Fiddlesticks,0,0,0,2,TFT5_Gwen,59,0,0,1,TFT5_Volibear,48,77,2056,1,None,0,0,0,0,TFT5_Sejuani,56,17,0,2,TFT5_Irelia,0,0,0,2,TFT5_LeeSin,49,0,0,2,TFT5_Yasuo,49,1158,2034,2,TFT5_Rell,1178,0,0,1,TFT5_Diana,45,0,0,1,TFT5_Aphelios,0,0,0,1,None,0,0,0,0,None,0,0,0,0
1,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,TFT5_Garen,0,0,0,2,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,TFT5_Garen,0,0,0,2,TFT5_Akshan,22,11,49,1
0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,TFT5_Garen,0,0,0,2,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,None,0,0,0,0,None,0,0,0,0
1,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,TFT5_Galio,2077,47,66,2,None,0,0,0,0,None,0,0,0,0
0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,TFT5_Lucian,19,39,49,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0
0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,TFT5_Jax,0,0,0,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0
0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,TFT5_Rakan,1196,0,0,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0
0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,TFT5_Nautilus,0,0,0,1,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0
1,TFT5_Senna,79,0,0,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,TFT5_Senna,79,0,0,2,TFT5_Pyke,0,0,0,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0
0,TFT5_Senna,79,0,0,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0
1,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,TFT5_Galio,77,36,47,2,None,0,0,0,0,None,0,0,0,0,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,TFT5_Galio,77,36,47,2,TFT5_Akshan,19,1195,26,1,None,0,0,0,0
0,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,TFT5_Galio,77,36,47,2,None,0,0,0,0,None,0,0,0,0,TFT5_Pyke,57,0,0,2,TFT5_Nautilus,0,0,0,2,TFT5_Irelia,0,0,0,2,TFT5_Rakan,0,0,0,2,TFT5_Lucian,29,19,2039,2,TFT5_Rell,17,0,0,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0
